pred_counts,gt_counts
3.0,0.0
1.0,0.0
7.0,6.0
0.0,1.0
21.0,23.0
6.0,5.0
6.0,3.0
18.0,15.0
37.0,27.0
1.0,0.0
7.0,9.0
6.0,7.0
3.0,4.0
7.0,4.0
1.0,2.0
1.0,0.0
3.0,2.0
1.0,0.0
3.0,0.0
0.0,2.0
23.0,12.0
0.0,1.0
9.0,7.0
0.0,1.0
1.0,1.0
1.0,1.0
6.0,7.0
16.0,22.0
11.0,8.0
4.0,3.0
10.0,12.0
0.0,1.0
6.0,10.0
4.0,5.0
2.0,0.0
5.0,6.0
16.0,23.0
2.0,0.0
4.0,7.0
1.0,3.0
1.0,0.0
1.0,0.0
2.0,2.0
1.0,0.0
1.0,1.0
11.0,9.0
2.0,1.0
7.0,4.0
1.0,0.0
1.0,0.0
1.0,3.0
1.0,2.0
1.0,0.0
5.0,5.0
1.0,0.0
2.0,0.0
2.0,0.0
2.0,2.0
4.0,0.0
24.0,25.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,1.0
3.0,4.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
21.0,19.0
0.0,1.0
0.0,1.0
18.0,10.0
12.0,9.0
1.0,2.0
5.0,5.0
1.0,0.0
3.0,0.0
4.0,2.0
1.0,1.0
1.0,0.0
10.0,7.0
5.0,4.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
2.0,0.0
5.0,3.0
0.0,1.0
1.0,0.0
2.0,2.0
1.0,0.0
2.0,2.0
1.0,0.0
0.0,1.0
2.0,0.0
1.0,1.0
4.0,3.0
2.0,2.0
1.0,1.0
0.0,2.0
1.0,0.0
1.0,0.0
1.0,0.0
6.0,5.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
10.0,4.0
1.0,0.0
3.0,1.0
5.0,6.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
4.0,4.0
5.0,5.0
1.0,1.0
3.0,1.0
1.0,1.0
1.0,2.0
0.0,1.0
0.0,1.0
3.0,1.0
2.0,2.0
1.0,2.0
7.0,7.0
2.0,2.0
0.0,1.0
1.0,1.0
3.0,2.0
0.0,1.0
1.0,1.0
2.0,2.0
6.0,4.0
1.0,1.0
0.0,1.0
1.0,0.0
3.0,1.0
0.0,1.0
4.0,6.0
0.0,1.0
1.0,0.0
3.0,2.0
1.0,0.0
2.0,1.0
1.0,0.0
5.0,3.0
1.0,0.0
1.0,1.0
1.0,1.0
3.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
5.0,4.0
1.0,0.0
3.0,3.0
1.0,0.0
0.0,1.0
3.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
10.0,13.0
1.0,0.0
2.0,0.0
12.0,10.0
4.0,2.0
1.0,1.0
2.0,2.0
1.0,1.0
1.0,2.0
0.0,2.0
0.0,1.0
2.0,2.0
4.0,8.0
1.0,0.0
1.0,0.0
2.0,1.0
2.0,0.0
3.0,1.0
1.0,0.0
4.0,0.0
2.0,0.0
1.0,0.0
1.0,0.0
10.0,6.0
8.0,6.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
2.0,4.0
1.0,0.0
0.0,1.0
1.0,0.0
4.0,1.0
2.0,1.0
5.0,4.0
1.0,0.0
2.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
2.0,1.0
61.0,56.0
4.0,4.0
1.0,2.0
4.0,4.0
4.0,0.0
1.0,0.0
2.0,0.0
2.0,1.0
1.0,0.0
2.0,2.0
0.0,2.0
1.0,1.0
1.0,0.0
1.0,1.0
13.0,12.0
1.0,2.0
30.0,37.0
1.0,0.0
2.0,2.0
1.0,0.0
2.0,3.0
1.0,0.0
1.0,1.0
9.0,9.0
21.0,28.0
3.0,2.0
2.0,0.0
1.0,0.0
2.0,1.0
5.0,3.0
2.0,0.0
1.0,0.0
1.0,0.0
2.0,4.0
1.0,0.0
5.0,3.0
0.0,1.0
1.0,0.0
2.0,0.0
0.0,1.0
7.0,8.0
2.0,0.0
1.0,0.0
4.0,2.0
1.0,0.0
5.0,2.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
6.0,5.0
7.0,7.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,1.0
0.0,1.0
1.0,0.0
5.0,7.0
0.0,1.0
1.0,0.0
2.0,5.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
0.0,3.0
1.0,1.0
2.0,0.0
1.0,1.0
1.0,0.0
0.0,1.0
17.0,10.0
57.0,36.0
1.0,1.0
2.0,2.0
1.0,2.0
1.0,1.0
1.0,1.0
2.0,2.0
6.0,6.0
1.0,2.0
0.0,1.0
1.0,0.0
5.0,5.0
2.0,3.0
1.0,1.0
30.0,25.0
0.0,1.0
2.0,1.0
31.0,24.0
0.0,1.0
2.0,1.0
7.0,9.0
1.0,1.0
13.0,11.0
6.0,3.0
1.0,2.0
0.0,1.0
0.0,1.0
1.0,2.0
1.0,1.0
3.0,1.0
3.0,3.0
7.0,11.0
1.0,0.0
6.0,6.0
0.0,1.0
5.0,4.0
3.0,2.0
4.0,0.0
0.0,1.0
0.0,1.0
2.0,2.0
2.0,3.0
2.0,2.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
2.0,3.0
13.0,8.0
1.0,0.0
2.0,2.0
0.0,1.0
1.0,0.0
2.0,2.0
0.0,1.0
10.0,7.0
5.0,6.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,0.0
3.0,1.0
0.0,1.0
1.0,0.0
2.0,3.0
2.0,0.0
1.0,0.0
4.0,4.0
2.0,1.0
3.0,3.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,2.0
0.0,1.0
0.0,1.0
3.0,3.0
14.0,22.0
0.0,1.0
1.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,2.0
0.0,1.0
1.0,0.0
1.0,1.0
1.0,0.0
11.0,10.0
1.0,3.0
1.0,0.0
1.0,0.0
4.0,3.0
1.0,0.0
1.0,0.0
1.0,0.0
15.0,15.0
1.0,0.0
1.0,0.0
27.0,23.0
1.0,0.0
11.0,8.0
1.0,0.0
4.0,6.0
3.0,4.0
5.0,5.0
2.0,0.0
0.0,1.0
4.0,1.0
4.0,4.0
1.0,0.0
1.0,2.0
57.0,61.0
1.0,0.0
7.0,5.0
34.0,21.0
6.0,8.0
4.0,6.0
0.0,1.0
0.0,2.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,1.0
5.0,6.0
1.0,2.0
0.0,2.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
2.0,2.0
1.0,1.0
1.0,0.0
0.0,1.0
5.0,4.0
0.0,1.0
3.0,3.0
14.0,14.0
16.0,9.0
0.0,1.0
2.0,2.0
3.0,2.0
0.0,1.0
3.0,0.0
3.0,3.0
2.0,2.0
1.0,0.0
1.0,1.0
5.0,8.0
3.0,3.0
0.0,1.0
2.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,2.0
1.0,1.0
1.0,0.0
2.0,2.0
0.0,1.0
1.0,0.0
1.0,0.0
2.0,0.0
10.0,7.0
7.0,6.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
6.0,7.0
1.0,0.0
2.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
11.0,9.0
2.0,3.0
2.0,3.0
0.0,1.0
1.0,0.0
7.0,8.0
4.0,6.0
45.0,41.0
8.0,11.0
1.0,0.0
1.0,0.0
1.0,0.0
2.0,0.0
0.0,1.0
0.0,1.0
11.0,11.0
3.0,5.0
1.0,2.0
1.0,1.0
3.0,0.0
5.0,4.0
2.0,4.0
3.0,4.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
3.0,0.0
3.0,0.0
4.0,4.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
19.0,15.0
3.0,5.0
7.0,8.0
22.0,20.0
1.0,0.0
1.0,0.0
1.0,1.0
3.0,4.0
4.0,3.0
1.0,1.0
0.0,1.0
2.0,2.0
9.0,7.0
2.0,4.0
1.0,0.0
2.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
3.0,4.0
2.0,0.0
0.0,2.0
3.0,2.0
1.0,0.0
4.0,7.0
1.0,0.0
0.0,1.0
1.0,1.0
1.0,0.0
2.0,2.0
0.0,1.0
3.0,3.0
0.0,1.0
0.0,1.0
3.0,2.0
1.0,0.0
1.0,0.0
2.0,2.0
1.0,3.0
1.0,3.0
2.0,0.0
8.0,9.0
3.0,3.0
0.0,1.0
3.0,4.0
8.0,11.0
2.0,1.0
2.0,2.0
10.0,11.0
5.0,4.0
5.0,8.0
25.0,33.0
4.0,1.0
4.0,4.0
8.0,10.0
4.0,5.0
5.0,5.0
5.0,8.0
2.0,2.0
4.0,8.0
6.0,16.0
1.0,1.0
4.0,6.0
1.0,2.0
35.0,42.0
1.0,0.0
6.0,8.0
18.0,17.0
3.0,2.0
1.0,1.0
1.0,1.0
3.0,2.0
2.0,1.0
4.0,4.0
1.0,0.0
1.0,0.0
1.0,1.0
19.0,29.0
1.0,2.0
1.0,1.0
1.0,0.0
2.0,3.0
1.0,2.0
2.0,0.0
5.0,7.0
7.0,5.0
2.0,5.0
1.0,0.0
19.0,18.0
3.0,2.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
7.0,5.0
0.0,1.0
24.0,23.0
2.0,2.0
16.0,15.0
15.0,20.0
1.0,1.0
18.0,14.0
22.0,26.0
6.0,6.0
5.0,4.0
4.0,3.0
1.0,2.0
3.0,3.0
4.0,3.0
3.0,3.0
2.0,2.0
1.0,1.0
5.0,5.0
5.0,10.0
5.0,4.0
6.0,9.0
6.0,5.0
3.0,3.0
31.0,31.0
7.0,6.0
0.0,1.0
17.0,23.0
2.0,3.0
2.0,2.0
8.0,13.0
2.0,1.0
8.0,7.0
1.0,2.0
20.0,28.0
2.0,2.0
5.0,2.0
4.0,4.0
30.0,32.0
1.0,0.0
15.0,13.0
13.0,15.0
1.0,1.0
2.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,1.0
1.0,2.0
3.0,0.0
1.0,0.0
1.0,0.0
2.0,3.0
4.0,3.0
1.0,0.0
1.0,1.0
3.0,2.0
0.0,1.0
1.0,0.0
4.0,1.0
9.0,6.0
2.0,2.0
16.0,5.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
0.0,1.0
5.0,6.0
1.0,1.0
1.0,0.0
4.0,2.0
1.0,0.0
4.0,5.0
1.0,3.0
1.0,1.0
1.0,0.0
3.0,6.0
1.0,1.0
2.0,2.0
2.0,0.0
4.0,3.0
1.0,0.0
1.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,1.0
0.0,1.0
1.0,3.0
7.0,9.0
6.0,7.0
0.0,1.0
3.0,6.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,1.0
3.0,4.0
4.0,3.0
4.0,21.0
1.0,0.0
8.0,14.0
2.0,2.0
2.0,3.0
16.0,26.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,3.0
2.0,0.0
1.0,0.0
10.0,16.0
3.0,3.0
6.0,5.0
8.0,8.0
3.0,7.0
2.0,6.0
1.0,0.0
4.0,5.0
8.0,6.0
33.0,57.0
3.0,3.0
12.0,15.0
1.0,0.0
0.0,1.0
2.0,2.0
1.0,0.0
5.0,7.0
5.0,8.0
5.0,5.0
5.0,9.0
0.0,1.0
8.0,4.0
1.0,1.0
0.0,1.0
2.0,8.0
1.0,2.0
0.0,2.0
2.0,3.0
46.0,22.0
1.0,0.0
1.0,1.0
1.0,0.0
0.0,1.0
6.0,5.0
2.0,0.0
1.0,1.0
15.0,1.0
40.0,20.0
1.0,1.0
0.0,1.0
0.0,1.0
2.0,2.0
2.0,0.0
2.0,0.0
1.0,0.0
1.0,1.0
0.0,1.0
1.0,0.0
1.0,1.0
5.0,3.0
2.0,2.0
1.0,1.0
1.0,0.0
1.0,0.0
3.0,3.0
4.0,3.0
1.0,1.0
2.0,4.0
3.0,3.0
2.0,1.0
1.0,0.0
3.0,4.0
1.0,1.0
1.0,2.0
1.0,0.0
2.0,3.0
24.0,22.0
0.0,1.0
0.0,1.0
6.0,6.0
3.0,2.0
1.0,0.0
1.0,0.0
2.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
0.0,1.0
2.0,1.0
0.0,1.0
1.0,1.0
2.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
2.0,1.0
0.0,1.0
0.0,1.0
4.0,5.0
1.0,1.0
3.0,4.0
3.0,1.0
10.0,12.0
1.0,1.0
26.0,23.0
1.0,0.0
0.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.0
2.0,1.0
2.0,3.0
0.0,2.0
1.0,0.0
38.0,12.0
28.0,12.0
5.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
0.0,1.0
4.0,3.0
1.0,1.0
1.0,0.0
5.0,4.0
1.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
3.0,2.0
1.0,1.0
1.0,2.0
1.0,1.0
28.0,22.0
6.0,5.0
4.0,4.0
1.0,2.0
2.0,1.0
1.0,0.0
6.0,4.0
1.0,0.0
1.0,1.0
6.0,5.0
2.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
4.0,2.0
7.0,3.0
1.0,0.0
3.0,0.0
1.0,0.0
1.0,2.0
1.0,0.0
17.0,15.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,1.0
0.0,1.0
1.0,3.0
1.0,1.0
1.0,1.0
4.0,4.0
1.0,1.0
0.0,1.0
1.0,0.0
3.0,1.0
1.0,1.0
0.0,1.0
1.0,1.0
2.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,2.0
1.0,0.0
0.0,2.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.0
0.0,1.0
3.0,2.0
1.0,0.0
2.0,1.0
1.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
4.0,6.0
1.0,1.0
2.0,0.0
1.0,0.0
2.0,1.0
1.0,1.0
1.0,0.0
2.0,4.0
0.0,2.0
0.0,3.0
2.0,1.0
1.0,2.0
1.0,1.0
0.0,1.0
5.0,4.0
1.0,2.0
1.0,0.0
1.0,1.0
6.0,5.0
1.0,5.0
12.0,15.0
11.0,7.0
0.0,2.0
3.0,3.0
4.0,1.0
2.0,0.0
1.0,1.0
3.0,5.0
12.0,17.0
6.0,7.0
17.0,22.0
2.0,1.0
1.0,0.0
1.0,1.0
7.0,8.0
3.0,3.0
4.0,4.0
1.0,3.0
9.0,5.0
37.0,56.0
1.0,3.0
1.0,1.0
5.0,6.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,1.0
7.0,9.0
1.0,0.0
1.0,1.0
3.0,1.0
1.0,1.0
1.0,2.0
0.0,1.0
1.0,0.0
20.0,46.0
1.0,1.0
31.0,26.0
1.0,0.0
1.0,0.0
1.0,2.0
7.0,10.0
3.0,6.0
1.0,0.0
7.0,14.0
1.0,1.0
4.0,1.0
2.0,1.0
1.0,1.0
1.0,1.0
5.0,5.0
14.0,18.0
16.0,17.0
2.0,2.0
1.0,1.0
4.0,4.0
2.0,3.0
14.0,15.0
2.0,2.0
5.0,4.0
3.0,2.0
1.0,0.0
0.0,1.0
0.0,1.0
