accuracy,recall,precision,fscore,edge_threshold,tp,fp,fn,tn,add_synaptic_cleft_score,synful_method,dataset
0.5536312849162012,0.8708260105448155,0.603164942178941,0.7126932758000719,1,1982,1304,294,0,False,random,calyx
0.6267995570321152,0.7420101899027327,0.7791828793774319,0.7601423487544484,2,1602,454,557,96,False,random,calyx
0.57782340862423,0.5959357277882797,0.8793584379358438,0.7104225352112675,3,1261,173,855,146,False,random,calyx
0.480530594779632,0.45275779376498804,0.928220255653884,0.6086395873629917,4,944,73,1141,179,False,random,calyx
0.3866898651587647,0.32663070132417854,0.9473684210526315,0.48577680525164113,5,666,37,1373,223,False,random,calyx
0.3323117338003503,0.2404040404040404,0.9577464788732394,0.3843358901897456,6,476,21,1504,283,False,random,calyx
0.29969284774023697,0.18195956454121306,0.9512195121951219,0.3054830287206266,7,351,18,1578,332,False,random,calyx
0.2906057945566286,0.1353099730458221,0.9543726235741445,0.23701605288007555,8,251,12,1604,411,False,random,calyx
0.2951251646903821,0.10191441441441441,0.9476439790575916,0.18403660396542956,9,181,10,1595,491,False,random,calyx
0.3126921387790953,0.07482185273159145,0.9473684210526315,0.1386901485965878,10,126,7,1558,586,False,random,calyx
0.33684672815107597,0.054682589566310495,0.9354838709677419,0.10332541567695962,11,87,6,1504,680,False,random,calyx
0.37609841827768015,0.04838709677419355,0.9473684210526315,0.09207161125319693,12,72,4,1416,784,False,random,calyx
0.40817223198594027,0.03311735061195104,0.92,0.06393328700486449,13,46,4,1343,883,False,random,calyx
0.45166959578207383,0.025058731401722788,0.9142857142857143,0.04878048780487805,14,32,3,1245,996,False,random,calyx
0.5004393673110721,0.01903114186851211,0.88,0.03725656223539374,15,22,3,1134,1117,False,random,calyx
0.5426186291739895,0.013307984790874524,0.8235294117647058,0.026192703461178673,16,14,3,1038,1221,False,random,calyx
0.5887521968365553,0.012698412698412698,0.8,0.025,17,12,3,933,1328,False,random,calyx
0.6313708260105448,0.008293838862559242,0.7777777777777778,0.016412661195779603,18,7,2,837,1430,False,random,calyx
0.6695957820738138,0.0066050198150594455,1.0,0.013123359580052495,19,5,0,752,1519,False,random,calyx
0.6977152899824253,0.004341534008683068,1.0,0.008645533141210375,20,3,0,688,1585,False,random,calyx
0.7271528998242531,0.0032102728731942215,1.0,0.0064,21,2,0,621,1653,False,random,calyx
0.7587873462214412,0.003629764065335753,1.0,0.007233273056057866,22,2,0,549,1725,False,random,calyx
0.7934973637961336,0.00423728813559322,1.0,0.008438818565400843,23,2,0,470,1804,False,random,calyx
0.8141476274165202,0.0023584905660377358,1.0,0.004705882352941177,24,1,0,423,1852,False,random,calyx
0.8352372583479789,0.0026595744680851063,1.0,0.005305039787798408,25,1,0,375,1900,False,random,calyx
0.8585237258347979,0.0,,,26,0,0,322,1954,False,random,calyx
0.8813708260105448,0.0,,,27,0,0,270,2006,False,random,calyx
0.8954305799648506,0.0,,,28,0,0,238,2038,False,random,calyx
0.9086115992970123,0.0,,,29,0,0,208,2068,False,random,calyx
