accuracy,recall,precision,fscore,edge_threshold,tp,fp,fn,tn,add_synaptic_cleft_score,synful_method,dataset
0.8936,0.9815465729349736,0.9088689991863304,0.9438107308829742,1,2234,224,42,0,True,synfulv01,calyx
0.9663357790246008,0.9911996294580825,0.9731696225557072,0.9821018815970629,2,2140,59,19,99,True,synfulv01,calyx
0.9703961689159774,0.9853497164461248,0.9825636192271442,0.9839546956111374,3,2085,37,31,144,True,synfulv01,calyx
0.9663019693654267,0.9764988009592326,0.9864341085271318,0.9814413111593154,4,2036,28,49,172,True,synfulv01,calyx
0.9596314172882844,0.9686120647376165,0.9860209685471792,0.9772389905987136,5,1975,28,64,212,True,synfulv01,calyx
0.9424934152765584,0.955050505050505,0.9782721158820487,0.9665218502427804,6,1891,42,89,256,True,synfulv01,calyx
0.92756804214223,0.9367547952306895,0.9767567567567568,0.9563376554644087,7,1807,43,122,306,True,synfulv01,calyx
0.9174714661984197,0.9266846361185984,0.9706380575945793,0.9481522338665196,8,1719,52,136,371,True,synfulv01,calyx
0.9068950373298199,0.9138513513513513,0.964922711058264,0.9386928860613072,9,1623,59,153,442,True,synfulv01,calyx
0.891084760649978,0.9014251781472684,0.94875,0.9244823386114495,10,1518,82,166,511,True,synfulv01,calyx
0.8792270531400966,0.8830923947203017,0.9404283801874164,0.9108589951377634,11,1405,89,186,597,True,synfulv01,calyx
0.8722002635046113,0.864247311827957,0.9352727272727273,0.8983583653510303,12,1286,89,202,700,True,synfulv01,calyx
0.867808519982433,0.8430525557955364,0.9338118022328549,0.8861142640938329,13,1171,83,218,805,True,synfulv01,calyx
0.8624780316344464,0.8245888801879405,0.9220665499124343,0.8706076891277387,14,1053,89,224,910,True,synfulv01,calyx
0.8620386643233744,0.8114186851211073,0.90715667311412,0.8566210045662102,15,938,96,218,1024,True,synfulv01,calyx
0.8677504393673111,0.7918250950570342,0.9103825136612022,0.8469750889679716,16,833,82,219,1142,True,synfulv01,calyx
0.8848857644991213,0.798941798941799,0.9129383313180169,0.8521444695259593,17,755,72,190,1259,True,synfulv01,calyx
0.8870826010544816,0.7914691943127962,0.8918558077436582,0.8386691776522284,18,668,81,176,1351,True,synfulv01,calyx
0.8840070298769771,0.7542932628797886,0.8798151001540832,0.8122332859174964,19,571,78,186,1441,True,synfulv01,calyx
0.8796133567662566,0.7120115774240231,0.8677248677248677,0.7821939586645469,20,492,75,199,1510,True,synfulv01,calyx
0.8866432337434095,0.695024077046549,0.8642714570858283,0.7704626334519573,21,433,68,190,1585,True,synfulv01,calyx
0.8945518453427065,0.676950998185118,0.8574712643678161,0.7565922920892494,22,373,62,178,1663,True,synfulv01,calyx
0.9094903339191565,0.6864406779661016,0.8481675392670157,0.7587822014051523,23,324,58,148,1746,True,synfulv01,calyx
0.9152021089630932,0.660377358490566,0.851063829787234,0.743691899070385,24,280,49,144,1803,True,synfulv01,calyx
0.9187170474516696,0.6117021276595744,0.8550185873605948,0.7131782945736433,25,230,39,146,1861,True,synfulv01,calyx
0.9314586994727593,0.6149068322981367,0.8608695652173913,0.717391304347826,26,198,32,124,1922,True,synfulv01,calyx
0.9402460456942003,0.6222222222222222,0.8316831683168316,0.711864406779661,27,168,34,102,1972,True,synfulv01,calyx
0.9424428822495606,0.5882352941176471,0.8092485549132948,0.6812652068126521,28,140,33,98,2005,True,synfulv01,calyx
0.9507908611599297,0.5865384615384616,0.8243243243243243,0.6853932584269664,29,122,26,86,2042,True,synfulv01,calyx
