celltype,gtcount_joint,tpcount_joint,fpcount_joint,fncount_joint,skel_id,precision,recall,fscore,score_thr
epg,52765,33464,14677,19301,23163236,0.6951247377495274,0.634208282005117,0.663270766852318,-1
peg,5503,2969,1623,2534,9358425,0.6465592334494773,0.5395238960566964,0.5882119861317483,-1
pen1,13885,8467,4298,5418,9214821,0.663298080689385,0.6097947425279078,0.635422138836773,-1
pen2,11059,6999,3949,4060,14297605,0.6392948483741323,0.6328781987521476,0.6360703412550552,-1
epg,52765,33464,14677,19301,23163236,0.6951247377495274,0.634208282005117,0.663270766852318,0
peg,5503,2969,1623,2534,9358425,0.6465592334494773,0.5395238960566964,0.5882119861317483,0
pen1,13885,8467,4298,5418,9214821,0.663298080689385,0.6097947425279078,0.635422138836773,0
pen2,11059,6999,3949,4060,14297605,0.6392948483741323,0.6328781987521476,0.6360703412550552,0
epg,52765,33464,14677,19301,23163236,0.6951247377495274,0.634208282005117,0.663270766852318,1
peg,5503,2969,1623,2534,9358425,0.6465592334494773,0.5395238960566964,0.5882119861317483,1
pen1,13885,8467,4298,5418,9214821,0.663298080689385,0.6097947425279078,0.635422138836773,1
pen2,11059,6999,3949,4060,14297605,0.6392948483741323,0.6328781987521476,0.6360703412550552,1
epg,52765,33464,14677,19301,23163236,0.6951247377495274,0.634208282005117,0.663270766852318,2
peg,5503,2969,1623,2534,9358425,0.6465592334494773,0.5395238960566964,0.5882119861317483,2
pen1,13885,8467,4298,5418,9214821,0.663298080689385,0.6097947425279078,0.635422138836773,2
pen2,11059,6999,3949,4060,14297605,0.6392948483741323,0.6328781987521476,0.6360703412550552,2
epg,52765,33464,14677,19301,23163236,0.6951247377495274,0.634208282005117,0.663270766852318,3
peg,5503,2969,1623,2534,9358425,0.6465592334494773,0.5395238960566964,0.5882119861317483,3
pen1,13885,8467,4298,5418,9214821,0.663298080689385,0.6097947425279078,0.635422138836773,3
pen2,11059,6999,3949,4060,14297605,0.6392948483741323,0.6328781987521476,0.6360703412550552,3
epg,52765,33464,14677,19301,23163236,0.6951247377495274,0.634208282005117,0.663270766852318,4
peg,5503,2969,1623,2534,9358425,0.6465592334494773,0.5395238960566964,0.5882119861317483,4
pen1,13885,8467,4298,5418,9214821,0.663298080689385,0.6097947425279078,0.635422138836773,4
pen2,11059,6999,3949,4060,14297605,0.6392948483741323,0.6328781987521476,0.6360703412550552,4
epg,52765,33464,14677,19301,23163236,0.6951247377495274,0.634208282005117,0.663270766852318,5
