,score_thr,synapse_collection,annotator,fscore,precision,recall,fpcount,fncount,tpcount,gtcount,predcount
0,0.0,syntist_ffn,,0.1825694966190834,0.1019723038187159,0.8709677419354839,2140,36,243,279,2383
1,100.0,syntist_ffn,,0.3856209150326797,0.24973544973544973,0.8458781362007168,709,43,236,279,945
2,200.0,syntist_ffn,,0.46277665995975853,0.32167832167832167,0.8243727598566308,485,49,230,279,715
3,300.0,syntist_ffn,,0.518348623853211,0.3811129848229342,0.8100358422939068,367,53,226,279,593
4,400.0,syntist_ffn,,0.5459057071960298,0.4174573055028463,0.7885304659498208,307,59,220,279,527
5,500.0,syntist_ffn,,0.5755968169761274,0.4568421052631579,0.7777777777777778,258,62,217,279,475
6,600.0,syntist_ffn,,0.5906593406593407,0.47884187082405344,0.7706093189964157,234,64,215,279,449
7,700.0,syntist_ffn,,0.6078147612156296,0.5097087378640777,0.7526881720430108,202,69,210,279,412
8,800.0,syntist_ffn,,0.6259314456035767,0.5357142857142857,0.7526881720430108,182,69,210,279,392
9,900.0,syntist_ffn,,0.6370597243491578,0.5561497326203209,0.7455197132616488,166,71,208,279,374
10,1000.0,syntist_ffn,,0.6386292834890966,0.5647382920110193,0.7347670250896058,158,74,205,279,363
11,2000.0,syntist_ffn,,0.6335877862595419,0.6775510204081633,0.5949820788530465,79,113,166,279,245
12,3000.0,syntist_ffn,,0.567741935483871,0.7096774193548387,0.4731182795698925,54,147,132,279,186
13,4000.0,syntist_ffn,,0.47407407407407404,0.7619047619047619,0.34408602150537637,30,183,96,279,126
14,5000.0,syntist_ffn,,0.3581267217630854,0.7738095238095238,0.23297491039426524,19,214,65,279,84
15,6000.0,syntist_ffn,,0.2754491017964072,0.8363636363636363,0.16487455197132617,9,233,46,279,55
16,7000.0,syntist_ffn,,0.19108280254777069,0.8571428571428571,0.10752688172043011,5,249,30,279,35
17,8000.0,syntist_ffn,,0.13815789473684212,0.84,0.07526881720430108,4,258,21,279,25
18,9000.0,syntist_ffn,,0.1016949152542373,0.9375,0.053763440860215055,1,264,15,279,16
19,10000.0,syntist_ffn,,0.08247422680412372,1.0,0.043010752688172046,0,267,12,279,12
20,11000.0,syntist_ffn,,0.07586206896551724,1.0,0.03942652329749104,0,268,11,279,11
21,12000.0,syntist_ffn,,0.04210526315789474,1.0,0.021505376344086023,0,273,6,279,6
22,13000.0,syntist_ffn,,0.0352112676056338,1.0,0.017921146953405017,0,274,5,279,5
23,14000.0,syntist_ffn,,0.02826855123674912,1.0,0.014336917562724014,0,275,4,279,4
24,15000.0,syntist_ffn,,0.02826855123674912,1.0,0.014336917562724014,0,275,4,279,4
25,16000.0,syntist_ffn,,0.014234875444839857,1.0,0.007168458781362007,0,277,2,279,2
26,17000.0,syntist_ffn,,0.014234875444839857,1.0,0.007168458781362007,0,277,2,279,2
27,18000.0,syntist_ffn,,0.014234875444839857,1.0,0.007168458781362007,0,277,2,279,2
28,19000.0,syntist_ffn,,0.014234875444839857,1.0,0.007168458781362007,0,277,2,279,2
29,20000.0,syntist_ffn,,0.014234875444839857,1.0,0.007168458781362007,0,277,2,279,2
30,21000.0,syntist_ffn,,0.014234875444839857,1.0,0.007168458781362007,0,277,2,279,2
31,22000.0,syntist_ffn,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
32,23000.0,syntist_ffn,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
33,24000.0,syntist_ffn,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
34,25000.0,syntist_ffn,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
35,26000.0,syntist_ffn,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
36,27000.0,syntist_ffn,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
37,28000.0,syntist_ffn,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
38,29000.0,syntist_ffn,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
39,30000.0,syntist_ffn,,0.0071428571428571435,1.0,0.0035842293906810036,0,278,1,279,1
