id,post_node_id,post_skel_id,post_x,post_y,post_z,pre_node_id,pre_skel_id,pre_x,pre_y,pre_z
2,7798327,2402246,333809,157447,186080,4526202,23829,333685,157620,186200
7,7810155,2407732,378686,140718,191400,7810146,23829,378717,140840,191360
8,7831638,2421176,369798,149889,183520,7831618,23829,369451,149956,183560
9,52715247,13174415,346695,168108,165640,17715725,23829,346595,168041,165800
11,7859300,2434566,387855,136666,190200,7859283,23829,388020,136437,190160
12,8322543,2659848,347725,171110,168160,8322533,23829,347917,171318,168080
15,7855961,3136591,358804,156381,192880,7855949,23829,358932,156203,192840
18,8285021,2646385,338558,163740,165720,8285011,23829,338370,163700,165720
19,52709259,13168057,346285,169320,164360,40473581,23829,346331,169428,164400
20,7792981,2396116,380086,115949,170160,7792939,23829,380176,115765,170080
21,52715025,13174180,345545,163449,189560,8262826,23829,345713,163517,189600
23,8267273,2635365,349639,162539,190000,8267271,23829,349479,162456,190000
24,8323610,2661682,346234,161712,155040,8323603,23829,346275,161786,154920
27,7226373,2129192,342222,161431,188800,7226353,23829,342066,162249,188640
28,7792468,2395654,379484,115365,169560,4514105,23829,379593,115224,169400
33,7809998,2407609,372521,139835,191960,7809982,23829,372509,139942,192000
34,12371478,11524508,344799,164316,183720,8265451,23829,344559,164421,183840
35,7783561,2388929,387088,123051,179400,7783548,23829,386932,122967,179400
36,8286360,2647573,338255,162913,163360,8286317,23829,338327,163008,163440
37,8286322,2647499,338275,162832,163440,8286317,23829,338327,163008,163440
39,7783480,2388820,386014,122616,179080,7783458,23829,386123,122569,179160
40,4515629,1095451,344694,167747,177960,4515626,23829,344612,167798,177960
41,4526606,1098193,341388,160597,189520,4526604,23829,341315,160732,189520
42,7794890,2397892,383685,119830,177960,7794881,23829,383492,119809,177960
43,7860392,2435228,377503,141159,192360,7860390,23829,377703,141240,192320
44,4515451,1094790,344127,164245,183560,4515447,23829,344176,164047,183560
47,7227245,2131638,400538,128694,183800,7227241,23829,401772,128914,183880
52,7836524,2424834,394320,128395,182600,4513610,23829,394394,128221,182680
54,4515441,1094758,344829,162212,184080,4515436,23829,344964,162029,184040
55,7827024,2418241,383759,148011,189240,4513835,23829,383991,147949,189240
56,7856084,2431509,376898,142098,192400,7856075,23829,376642,142142,192400
57,7798261,3136591,333195,156830,185720,7798242,23829,332875,156955,185800
58,4525531,2419600,340807,159990,190320,4525526,23829,341053,160038,190320
59,7833188,2633111,373822,149584,188760,7833176,23829,373616,149692,188800
60,9589793,2390360,390866,127523,181440,4513672,23829,390690,127409,181400
62,4515586,1095289,343946,166975,179080,4515583,23829,343908,167169,179040
63,7226087,2128719,336971,160454,185640,7226083,23829,336643,160378,185640
64,7818085,2414137,378595,131014,188800,7818078,23829,378739,130902,188800
65,7833351,2422673,373392,149385,188400,7833337,23829,373340,149673,188400
70,7829466,3687459,345208,167882,179720,7829461,23829,345012,167874,179720
71,7829165,2419368,344480,167808,179040,7829164,23829,344832,167940,179040
72,7784697,2390064,389325,124567,180360,7784685,23829,389197,124639,180440
74,7816086,2412093,341793,154429,195280,7816067,23829,341717,154564,195200
76,8291310,2650284,348455,169672,165680,8291306,23829,348291,169600,165680
77,7827227,2418305,384243,147482,188960,4513835,23829,383991,147949,189240
78,7836405,2431772,388058,136399,189360,7227068,23829,388597,136751,189400
80,7783573,2388944,387087,123139,179480,7783548,23829,386932,122967,179400
83,8264255,1091745,396702,129754,184480,7227222,23829,396254,130534,184680
84,8325133,2663640,349774,169371,160680,8325117,23829,349672,169226,160760
85,7870233,2442037,375460,149439,188360,7870230,23829,375504,149615,188360
87,7859317,2434623,387458,136675,190080,7859304,23829,387584,136697,190160
88,7790997,2394167,370635,113241,165200,7790942,23829,370625,113214,165080
91,8277815,2641995,342924,165548,171960,8277780,23829,342876,165231,172080
95,7738335,2362220,360568,152678,187040,7736917,23829,360702,152556,186920
97,8322685,2660180,348828,172162,167600,8322670,23829,348939,172286,167440
99,8276484,2641148,342619,166429,174760,8276476,23829,342779,166385,174760
100,7788134,2391679,334843,162623,172920,7788132,23829,334933,162512,172920
103,7832541,2422116,395404,128075,181800,4513595,23829,395087,128271,181800
104,7854473,2429113,371210,146028,192200,7854471,23829,371262,146128,192200
105,7854338,2659704,361908,154005,192960,7854331,23829,361853,153834,192880
106,3340113,743512,379421,130000,188280,3340080,23829,379691,130149,188320
107,4524550,1096847,346659,162094,190280,4524548,23829,346840,162100,190280
109,10338149,2419588,384975,121811,177880,7230616,23829,384754,121738,177960
110,7835893,2424340,370961,113021,164720,4514217,23829,370998,113175,164600
111,4514286,1094225,372268,147302,191360,4514281,23829,371838,147354,191320
112,7747312,2369475,336776,160319,184600,4527080,23829,336516,160454,184600
114,7738150,2417815,368350,150148,183040,7737381,23829,368474,150448,183040
117,7856610,2432258,386665,136689,189520,7856609,23829,386493,136837,189520
118,52713817,13172877,344282,168009,180040,4515568,23829,344365,168116,179880
119,8291188,2650189,343862,161100,155080,8291179,23829,343907,160943,155040
121,7747347,2369507,336449,160338,184880,7225004,23829,336134,160149,184840
124,4513874,1092768,385631,135788,189840,4513873,23829,385691,135903,189840
