id,post_skel_id,post_x,post_y,post_z,pre_skel_id,pre_x,pre_y,pre_z
278,1274114,484383,149699,187440,6102788,484219,149540,187320
284,1274114,478952,149962,184240,680476,477997,149810,184120
355,1274114,481394,153006,187480,632638,481423,153055,187560
479,1274114,483864,143739,180280,659998,483969,143615,180160
578,1274114,477601,151001,184520,301006,477918,151009,184520
696,1274114,486832,148690,176320,1126942,486731,148592,176320
711,1274114,487698,147865,185280,792368,488169,148318,185360
839,1274114,486895,148659,176840,704004,486857,148705,176800
886,1274114,480847,149244,187840,793926,480389,149444,187840
1611,1274114,479114,152925,186360,632638,479072,153009,186400
1837,1274114,484862,143789,182880,659998,484764,143638,182680
2514,1274114,485342,147883,176760,2113691,485736,147892,176600
2569,1274114,478065,152185,186480,632638,477886,151441,186480
2588,1274114,489438,144015,182480,816301,489511,143867,182440
2623,1274114,484116,153581,186560,793926,484248,153681,186600
2716,1274114,481890,153817,186960,793926,482008,153851,186800
2884,1274114,488470,145124,181760,793926,488163,144989,181760
2955,1274114,485081,149976,184240,793926,484991,150051,184240
2982,1274114,483022,144783,181280,797432,482887,144670,181280
3023,1274114,485846,149895,176840,704004,485819,150083,176840
3360,1274114,488569,147418,184760,699520,488731,147577,184720
3619,1274114,484852,143745,183000,800309,484936,143752,183120
3835,1274114,483368,150843,187840,6102788,483818,150469,187720
3855,1274114,479780,147655,182680,793690,479870,147424,182680
3965,1274114,484972,148876,185160,6102788,484885,148359,185120
3996,1274114,481890,153997,186800,793926,482008,153851,186800
4029,1274114,477994,152810,182960,632638,477833,152711,182920
4617,1274114,488591,143753,182360,816301,488766,143571,182400
4787,1274114,484256,149732,185000,6102788,484375,149637,185040
5289,1274114,484992,153440,185120,6102788,484944,153512,185280
5366,1274114,487198,146631,177440,649637,487374,146468,177400
5493,1274114,484552,153509,186200,6102788,484572,153284,186200
5633,1274114,483135,148317,178120,456206,483079,147264,178040
5646,1274114,478947,150641,188960,606837,478564,150850,189120
5674,1274114,487009,150486,178320,795558,487132,150477,178280
5790,1274114,479462,152992,181920,817983,479682,153014,181920
5923,1274114,487192,149414,186120,798575,487399,149422,186160
6013,1274114,484605,145580,185120,798507,484573,145807,185160
6413,1274114,479992,150414,189360,454543,479944,150141,189200
6633,1274114,481023,153543,186760,632638,480848,153665,186760
6795,1274114,479999,149808,178760,721336,479897,149783,178760
6829,1274114,484850,143629,182000,659998,484557,143491,182000
6887,1274114,481351,151378,179240,721336,481361,151517,179240
6926,1274114,477908,150203,185440,641164,478349,150123,185360
6977,1274114,486621,147930,184800,677428,486843,147976,184800
7048,1274114,483286,147771,176120,796982,483101,147702,176120
7126,1274114,485776,148478,176360,2113691,485882,148221,176440
7178,1274114,484989,151307,186560,669338,484828,151033,186560
7652,1274114,484339,151484,189160,6102788,484329,151391,189080
7983,1274114,483030,152656,189360,6102788,483215,152802,189360
8064,1274114,483615,151415,189760,694872,483662,151318,189640
8302,1274114,483647,150776,188120,6102788,483478,150244,188120
8472,1274114,487328,148612,175920,1126942,487264,148608,175840
8610,1274114,480416,149907,189560,454543,480440,149809,189480
8650,1274114,483989,148877,184360,6102788,484103,148731,184360
8740,1274114,484246,149496,184720,6102788,484371,149399,184720
8857,1274114,483251,152427,184440,6102788,483121,152480,184440
9053,1274114,485214,146336,183160,800246,485267,146050,183200
9429,1274114,480962,150872,178600,2001449,481075,150823,178560
9514,1274114,485891,147192,177560,362997,485945,147305,177440
9697,1274114,482733,150408,184600,793926,482885,150403,184600
9735,1274114,478390,152702,183000,801061,478438,152600,183080
9795,1274114,487435,149875,183880,797683,487732,149790,183880
10302,1274114,487709,146635,185320,816301,487463,146621,185320
10782,1274114,479375,153646,182360,301006,479454,153766,182520
10864,1274114,480460,150265,178560,711114,480428,150468,178600
11181,1274114,490356,150466,181480,798283,490436,150432,181400
11483,1274114,483333,152757,184680,794810,483322,152968,184680
11511,1274114,483128,148239,178560,791301,483023,148245,178600
11519,1274114,478167,152389,187080,632638,478388,152280,187120
11569,1274114,485221,149315,183880,6102788,485382,149304,183880
11635,1274114,485090,144308,181360,1156702,484956,144162,181360
11770,1274114,489393,151829,181560,721336,489401,151764,181560
11842,1274114,485297,151655,186920,6102788,485214,151732,186920
11853,1274114,485177,144157,181520,678978,485445,144144,181520
11965,1274114,477664,151990,185280,301006,477525,151896,185200
12063,1274114,486821,151073,185480,677428,487043,151119,185440
12083,1274114,480847,149244,187840,710697,481429,149288,187840
12119,1274114,484139,151861,189200,6102788,484243,152124,189200
12195,1274114,478586,150302,186160,793926,478721,150236,186160
12218,1274114,481901,153610,186800,793926,482008,153851,186800
12239,1274114,481641,150163,185640,794854,481105,149728,185640
12322,1274114,481982,152264,189520,6102788,481887,152464,189640
12396,1274114,477927,151373,188720,454543,477801,151390,188720
12439,1274114,486206,149064,175480,1570411,485688,149087,175480
12562,1274114,483012,144787,181320,797456,482816,144815,181320
12808,1274114,484214,145869,179320,792703,484211,145922,179400
12852,1274114,481460,153483,187120,632638,481361,153606,187160
12894,1274114,477794,152941,182800,301006,477750,153045,182720
12920,1274114,477402,152190,188960,454543,477382,152378,188960
12995,1274114,488812,146324,184840,699520,488767,146267,184760
13027,1274114,482355,144714,180520,793634,482180,144649,180520
13084,1274114,479115,151572,186480,632638,478975,151504,186480
13220,1274114,480419,152403,180360,721336,480591,152550,180400
13362,1274114,478840,150354,185680,793926,478838,150189,185680
13543,1274114,483363,145415,179680,660068,482393,144633,179680
13576,1274114,487610,146660,185240,816301,487463,146621,185320
13592,1274114,484920,152025,189640,6102788,485044,152061,189640
13682,1274114,484318,147885,178040,789791,485386,147654,178040
14090,1274114,482967,150691,184360,814426,482974,150935,184360
14457,1274114,487102,150038,185120,677428,487091,150079,185200
14459,1274114,485004,151237,186480,793926,485275,151289,186480
